Upper Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide,ReachEnd
648,0.02,3.75,0.01,0.01,I
649,0.02,3.75,0.01,0.01,I
650,0.02,3.75,0.01,0.01,I
651,0.02,3.75,0.01,0.01,I
652,0.02,3.75,0.01,0.01,I
653,0.02,3.75,0.01,0.01,I
654,0.02,3.75,0.01,0.01,I
655,0.02,3.75,0.01,0.01,I
656,0.4,0.3,0,0.3,I
657,0.15,3,0,0.1,I
658,0.15,3,0,0.1,I
659,0.15,3,0,0.1,I
660,0.01,4,0.05,0.01,I
661,0.01,4,0.05,0.01,I
662,0.01,4,0.05,0.01,I
663,0.15,3,0,0.1,I
664,0.01,4,0.05,0.01,I
665,0.01,4,0.05,0.01,I
666,0,5,0,0,I
667,0,5,0,0,I
668,0,5,0,0,I
669,0.01,4,0.05,0.01,I
670,0.01,4,0.05,0.01,I
671,0.01,4,0.05,0.01,I
672,0,5,0,0,I
673,0.02,3.75,0.01,0.01,I
674,0,5,0,0,I
675,0,5,0,0,I
676,0,5,0,0,I
677,0.02,3.75,0.01,0.01,I
678,0.02,3.75,0.01,0.01,I
679,0.2,0.5,0,0.2,I
680,0.01,5,0,0,I
681,0.01,5,0,0,I
682,0.01,5,0,0,I
683,0.03,1.5,0.01,0.05,I
684,0.03,1.5,0.01,0.05,I
685,0.2,0.5,0,0.2,I
686,0.03,1.5,0.01,0.05,I
687,0.03,1.5,0.01,0.05,I
688,0.03,1.5,0.01,0.05,I
689,0.02,3.75,0.01,0.01,I
690,0.02,3.75,0.01,0.01,I
691,0.02,3.75,0.01,0.01,I
692,0.02,3.75,0.01,0.01,I
693,0.02,3.75,0.01,0.01,I
694,0.02,3.75,0.01,0.01,I
695,0.15,3,0,0.1,I
696,0.4,0.3,0,0.3,I
697,0.15,3,0,0.1,I
698,0.15,3,0,0.1,I
699,0.15,3,0,0.1,I
700,0.01,4,0.05,0.01,I
701,0.15,3,0,0.1,I
702,0.15,3,0,0.1,I
703,0.15,3,0,0.1,I
704,0.15,3,0,0.1,I
705,0.02,3.75,0.01,0.01,I
706,0.02,3.75,0.01,0.01,I
707,0.02,3.75,0.01,0.01,I
708,0.2,0.5,0,0.2,I
709,0.01,5,0,0,I
710,0.01,5,0,0,I
711,0.01,5,0,0,I
712,0.01,5,0,0,I
713,0.03,1.5,0,0.05,I
714,0.03,1.5,0,0.05,I
715,0.03,1.5,0.01,0.05,I
716,0.03,1.5,0.01,0.05,I
717,0.03,1.5,0,0.05,I
718,0.03,1.5,0.01,0.05,I
719,0.15,3,0,0.1,I
720,0.15,1,0,0.15,I
721,0.15,1,0,0.15,I
722,0.15,1,0,0.15,I
723,0.03,1.5,0,0.05,I
724,0.03,1.5,0,0.05,I
725,0.03,1.5,0,0.05,I
726,0.2,0.2,0,0.5,I
727,0.01,3,0,0.01,I
728,0.03,1.5,0,0.05,I
729,0.03,1.5,0,0.05,I
730,0.03,1.5,0,0.05,I
731,0.15,1,0,0.15,I
732,0.15,1,0,0.15,I
733,0.15,1,0,0.15,I
734,0.15,1,0,0.15,I
735,0.15,1,0,0.15,I
736,0.15,1,0,0.15,I
737,0.15,1,0,0.15,I
738,0.15,1,0,0.15,I
739,0.03,1.5,0,0.05,I
740,0.03,1.5,0,0.05,I
741,0.2,0.2,0,0.5,I
742,0.2,0.2,0,0.5,I
743,0.01,3,0,0.01,I
744,0.01,3,0,0.01,I
745,0.15,1,0,0.15,I
746,0,0,0,0,I
747,0.15,1,0,0.15,I
748,0.15,1,0,0.15,I
749,0.15,1,0,0.15,I
750,0.2,0.96,0,0.1,I
751,0.03,3,0.01,0.05,I
752,0.03,3,0.01,0.05,I
753,0.03,3,0.01,0.05,I
754,0.2,0.2,0,0.5,I
755,0.03,3,0.01,0.05,I
756,0.03,3,0.01,0.05,I
757,0,0,0,0,I
758,0,0,0,0,I
759,0.2,0.96,0,0.1,I
760,0,0,0,0,I
761,0.2,0.96,0,0.1,I
762,0.2,0.96,0,0.1,I
763,0.03,3,0.01,0.05,I
764,0.03,3,0.01,0.05,I
765,0.03,2,0,0.02,I
766,0.03,2,0,0.02,I
767,0.03,2,0,0.02,I
768,0.2,0.2,0,0.5,I
769,0,0,0,0,I
770,0,0,0,0,I
771,0.2,0.96,0,0.1,I
772,0.2,0.96,0,0.1,I
773,0.2,0.96,0,0.1,I
774,0.2,1.27,0,0.05,I
775,0.2,1.27,0,0.05,I
776,0.03,2,0,0.02,I
777,0.03,2,0,0.02,I
778,0.2,0.2,0,0.5,I
779,0,0,0,0,I
780,0.2,0.96,0,0.1,I
781,0,0,0,0,I
782,0.2,0.96,0,0.1,I
783,0.2,0.96,0,0.1,I
784,0.2,0.96,0,0.1,I
