Lower Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide,FracSpawn,FracHide,ReachEnd
1792,0.1,0.5,0,0.1,I
1793,0.05,0.5,0,0.05,I
1794,0.05,0.5,0,0.05,I
1795,0,5,0,0,I
1796,0.1,0.23,0,0.8,I
1797,0.1,0.23,0,0.8,I
1798,0.1,0.23,0,0.8,I
1799,0.1,0.23,0,0.8,I
1800,0,1,0,0.05,I
1801,0.8,0,0,1,I
1802,0.8,0,0,1,I
1803,0.04,2,0,0.02,I
1804,0.04,2,0,0.02,I
1805,0.04,2,0,0.02,I
1806,0.1,0.23,0,0.8,I
1807,0.8,0,0,1,I
1808,0.8,0,0,1,I
1809,0.8,0,0,1,I
1810,0.8,0,0,1,I
1811,0.05,0.75,0,0.05,I
1812,0.05,0.75,0,0.05,I
1813,0.05,0.75,0,0.05,I
630,0.03,2.5,0.1,0.02,I
631,0.03,2.5,0.1,0.02,I
632,0.01,4,0.01,0.01,I
633,0.4,0,0,0.8,I
634,0.03,2.5,0.1,0.02,I
635,0.4,0,0,0.8,I
636,0.4,0,0,0.8,I
637,0.4,0,0,0.8,I
638,0.01,10,0,0,I
639,0,10,0,0,I
640,0.4,0,0,0.8,I
641,0.4,0,0,0.8,I
642,0,10,0,0,I
643,0,10,0,0,I
644,0,0.75,0.5,0.1,I
645,0,0.75,0.5,0.1,I
646,0,0.75,0.5,0.1,I
647,0,0.75,0.5,0.1,I
648,0,0.75,0.5,0.1,I
649,0.2,0.5,0,0.2,I
650,0.8,0,0,1,I
651,0.8,0,0,1,I
652,0.8,0,0,1,I
653,0.8,0,0,1,I
654,0.8,0,0,1,I
655,0.8,0,0,1,I
656,0.8,0,0,1,I
657,0.05,4,0.3,0.01,I
658,0.05,4,0.3,0.01,I
659,0.05,4,0.3,0.01,I
660,0.4,0,0,0.8,I
661,0.03,2.5,0.1,0.02,I
662,0.4,0,0,0.8,I
663,0.4,0,0,0.8,I
664,0.4,0,0,0.8,I
665,0.4,0,0,0.8,I
666,0.4,0,0,0.8,I
667,0.01,10,0,0,I
668,0,10,0,0,I
669,0.01,10,0,0,I
670,0.01,10,0,0,I
671,0,10,0,0,I
672,0,0.75,0.5,0.1,I
673,0.01,4.02,0,0.01,I
674,0,0.5,0.5,0.3,I
675,0,0.5,0.5,0.3,I
676,0,0.5,0.5,0.3,I
677,0,0.5,0.5,0.3,I
678,0.2,0.5,0,0.2,I
679,0.2,0.5,0,0.2,I
680,0.8,0,0,1,I
681,0.8,0,0,1,I
682,0.8,0,0,1,I
683,0.8,0,0,1,I
684,0.8,0,0,1,I
685,0.8,0,0,1,I
686,0.8,0,0,1,I
687,0.8,0,0,1,I
688,0.2,1.5,0.1,0.04,I
689,0.01,3,0.2,0.01,I
690,0.01,3,0.3,0.01,I
691,0.01,2,0,0.01,I
692,0.4,0,0,0.8,I
693,0.4,0,0,0.8,I
694,0.4,0,0,0.8,I
695,0.4,0,0,0.8,I
696,0.4,0,0,0.8,I
697,0.4,0,0,0.8,I
698,0.01,10,0,0,I
699,0.01,4.02,0,0.01,I
700,0.01,4.02,0,0.01,I
701,0.01,4.02,0,0.01,I
702,0.01,4.02,0,0.01,I
